user_id,rec_user_id,resolution,spath
7007462,13536467,0,3
42039601,37505509,0,0
12469665,CRM29913590,0,6
12625405,32737444,0,0
MBK5829011,28858460,0,3
4888011,78565059,0,0
56310520,MBK9104975,0,0
MBK13757796,97895549,0,0
51150965,MBK15490525,0,5
93835910,22480512,0,0
10015764,25793429,0,3
18686252,9400561,0,2
67189852,45364413,0,5
62974096,36956386,0,4
42864654,46591801,0,3
78444223,71339982,0,0
35345464,37182572,0,0
105568282,102932512,0,0
74698455,24428806,0,0
40871184,22120530,0,5
98820802,78196480,0,4
MBK9942761,97350060,0,7
59389879,1558196,0,0
107245414,69335752,0,0
35421067,76985981,0,2
84926343,36761341,0,6
65867318,67332395,0,5
38049644,9845883,0,6
85929946,64501471,0,4
51116232,24158525,0,4
32736147,87300838,1,0
22906855,40658601,0,0
10593732,98384506,0,0
96288082,26093443,0,0
34572021,100119844,0,0
106184019,86079458,0,0
39414106,3014467,0,4
6674229,77775510,0,0
77360785,104335677,0,0
48291592,106641408,0,0
MBK11023639,VSP12762967,0,7
92188721,CRM30635110,0,4
109299476,VSP11482741,0,0
50009703,107868388,0,7
25950931,5258066,0,0
96397550,622094,0,0
10751421,106641408,0,0
64979126,MBK11289073,0,2
27924206,3518240,0,3
18857842,70311184,0,4
16273736,52211192,0,0
5947990,9528716,0,2
96717289,109487542,0,4
87317315,65495474,0,3
20430716,58987699,0,0
6944677,MBK9350054,0,5
10909859,51548769,0,0
4955889,109392243,0,0
22809372,20988772,0,3
18837151,44682273,0,4
40339032,1423147,0,6
83982659,19256240,0,0
59971140,81776336,0,4
32570585,27695036,0,6
54403278,1208969,0,2
52723198,20327775,0,3
22343783,MBK5558982,0,0
52843916,44726675,0,0
3311114,63834066,0,3
69366699,107544356,0,5
41057740,35252569,0,3
58827512,36994058,0,5
102802600,16470968,0,0
51448145,103342262,0,0
43106805,26868136,0,4
83674046,27714176,0,5
14145073,52808992,0,0
70307388,27138903,0,0
34636444,77947594,0,6
19456889,109329783,0,0
44128393,54112613,0,5
11884742,108586084,0,0
4328961,81934462,0,6
4861381,42641778,0,0
12554514,76314720,0,0
20359356,60759770,0,0
11581456,72328406,0,0
45242804,57965760,0,4
80369846,90386021,0,0
17211373,78479982,0,3
103221940,33673042,0,4
72749023,106567516,0,0
80743454,73121111,0,0
MBK6535730,MBK8162384,0,0
46566080,490951,0,6
52190918,3342393,0,6
12554514,76314720,0,0
91904236,104457261,0,2
47590241,5602653,0,0
MBK15758378,85395644,0,7
MBK9374553,MBK13480726,0,0
45909768,53191104,0,0
27650195,53167811,0,0
84193643,104141883,0,0
27947806,18801262,0,7
33018049,46952612,0,5
40275437,9123961,0,0
58652208,28351536,0,0
1645212,97787730,0,0
34728951,24593260,0,5
65164930,107558571,0,0
7062826,34812475,0,0
87681614,243560,0,0
80494474,66771648,0,5
52786697,VSP9909451,0,3
MBK14459323,MBK6250196,0,2
79617078,243560,0,0
83429740,109188951,0,0
MBK10396840,83873911,0,3
92389793,8634069,0,0
27701017,6162808,0,0
50902793,MBK12518984,0,0
VSP12988034,36258746,0,5
73624125,32848729,0,6
14279066,24385232,0,5
72174958,13418245,0,0
107268506,80511301,0,0
103448956,243560,0,0
65573675,6000406,0,0
98521610,78398072,0,0
79617078,243560,0,0
2402646,61002277,0,4
13104412,82460361,0,4
103299878,60659902,0,3
3845615,3166453,0,0
VSP11494646,60567763,0,3
15348392,54287252,0,3
33877270,66553577,0,2
MBK10662931,33791482,0,0
94833903,104141883,0,0
50191278,25670815,0,3
67528913,98177234,0,6
5483260,89646089,0,3
MBK6472291,49278005,0,6
27056246,16088436,0,3
17026953,62031451,0,3
84913273,243560,0,0
93706196,102932512,0,5
104276081,40221335,0,0
46171875,61667969,0,4
21531713,33410100,0,4
90929903,MBK7560646,0,2
89182952,65347557,0,0
62633965,95502568,0,4
108037439,85813581,0,4
83982659,103654736,0,0
17825056,21763379,0,0
103138658,60979491,1,5
66844054,243560,0,0
MBK14568562,MBK15672720,0,0
13546675,58665490,0,4
39560696,VSP1029490,0,8
78234827,96408428,0,6
100917311,106384956,0,0
1312181,21900901,0,0
89536529,81934462,0,0
11519260,108087635,0,0
96288082,81934462,0,0
MBK7378681,36565873,0,0
MBK6172770,MBK7263939,0,0
MBK5803944,109114257,0,4
97939822,81168310,0,4
2563370,47981134,0,3
50020817,10291384,0,6
22373217,23842829,0,4
MBK5773079,9129390,0,0
48452594,62300674,0,4
35250728,89567285,0,6
94599929,CRM22700445,0,0
4194958,36477082,0,0
2563370,47981134,0,3
28276690,MBK15093102,0,0
66670271,36316706,0,2
43461072,104348393,0,0
66686993,CRM29796173,0,3
107268506,3096946,0,0
5853372,MBK7935477,0,0
92022788,37725583,0,6
86462443,96941869,0,0
98773502,102932512,0,4
3379519,88303363,0,0
23044936,VSP30540610,0,0
106180934,65877934,0,0
MBK12463485,63873814,0,0
92132894,124849,0,0
57797869,45161216,0,6
95618177,CRM27879909,0,0
36640780,84683713,0,0
109099339,76279305,0,2
104717841,105129767,0,5
16681523,111876,0,5
83066307,33449348,1,7
30534557,81934462,0,5
29884635,106747370,0,0
109559100,47408853,0,0
33814794,30989978,0,4
16613763,78068721,0,3
40416992,1485119,0,0
90803940,81934462,0,5
VSP13599233,1524368,0,4
VSP11801720,460210,0,0
76745464,67513074,0,0
99288098,87551133,0,0
63316666,81820025,0,0
25345518,55559340,0,3
107321538,69353611,0,4
26954224,64797212,0,3
39851540,52678088,0,3
96532775,107233436,0,4
84702601,MBK7225401,0,2
MBK7726381,MBK6836262,0,6
65094768,108029119,0,0
109533049,12342080,0,0
MBK5423103,24035133,0,4
62311234,74792213,0,0
102071757,107233436,0,5
66782601,26093443,0,0
97929402,74476087,0,2
60749987,22798502,0,4
12122856,52791144,0,0
62454449,98742277,0,4
6723979,MBK12135533,0,3
7353303,42342682,0,4
9855508,109021847,0,4
35972965,91289306,0,0
52397992,105424829,0,4
17187976,68923012,0,6
CRM24499641,MBK24394778,0,4
66782601,26093443,0,0
24156301,78813851,0,6
78304250,26093443,0,5
75623196,104782528,0,0
78784992,MBK22690607,0,5
28969828,2794029,0,2
10639446,MBK12713989,0,0
52584444,101962571,0,0
89806914,108545818,0,0
10940063,81060580,0,0
44281716,101053659,0,0
80456623,55503928,0,2
5292604,100663487,0,0
53647014,40996889,0,0
61684048,3200344,0,6
MBK17402005,3672627,0,0
3369691,243560,0,0
31858719,37496375,0,0
26278315,28011087,0,4
3426812,78680572,0,0
74939358,69057722,0,2
28276690,29129492,0,2
92024943,75627627,0,5
74053260,28093928,0,0
74053260,28093928,0,0
102277173,243560,0,0
18453245,59340827,0,6
98789899,109373579,0,4
61873496,MBK7442431,0,5
64429645,63308228,0,0
75413532,20628402,0,0
MBK11001207,76468983,0,7
52842889,87800727,0,4
89423150,14724118,0,0
61684048,3200344,0,6
91810552,98645320,0,0
MBK8374868,50170778,0,0
36665197,5395484,0,3
44204437,95217340,0,2
57214724,98512179,0,5
15016119,6613123,0,3
60719606,24120909,0,5
102277173,243560,0,0
48333432,106231926,0,0
51639184,54498261,0,2
VSP31808531,39428423,0,0
36665197,24907969,0,3
31579916,26909401,0,4
57218290,35120607,0,2
18261328,109457710,0,3
49636419,36624467,0,5
52785860,86681184,0,5
VSP11801720,460210,0,0
4750245,49622683,0,0
89312,144000,0,0
81924239,48022048,0,6
63203516,109573536,0,0
80280343,27711773,0,0
78291575,26590916,0,3
84268489,243560,0,0
36850610,16331784,0,0
MBK6327613,62229995,0,0
2779963,97472178,0,0
95674681,18268901,0,5
44293099,97638487,0,6
4512251,96076087,0,0
67737310,74954930,0,0
12933716,83083,0,3
1355634,21607523,0,2
56048541,11325139,0,0
57218290,35120607,0,2
53332723,71931300,0,4
75147871,102932512,0,5
21809236,4378613,0,2
61760860,58849232,0,0
14374874,39012854,0,3
18650626,78173329,0,5
19729288,73148685,0,6
73326043,80848585,0,5
70406727,9836836,0,0
21583421,78349081,0,5
80280343,27711773,0,0
87868160,25442149,0,3
MBK12522539,13147297,0,5
34475275,51192345,0,5
10236635,12756961,0,4
66111048,109513819,0,6
75153774,11566167,0,3
56713891,83370383,0,0
103519358,78005806,0,5
103519358,78005806,0,5
73368603,104814754,0,0
8095698,MBK7267927,0,3
43326399,105661376,0,0
12348067,76998158,0,3
83982659,4795171,0,0
86936948,1405915,0,5
25237872,243560,0,0
41019758,55661692,0,3
32470962,12436992,0,4
32329956,58337414,0,5
28917121,92723604,0,0
MBK9133484,27711527,0,6
1928866,35076941,0,4
17885960,MBK12888169,0,4
79314445,1334744,0,6
103687742,68420030,0,0
45082366,11373308,0,4
55571697,78346432,0,7
27186671,109442498,0,0
54876687,108937405,0,4
4828936,25837014,0,0
82999722,35330254,0,6
8770945,104141883,0,0
98205678,102396156,0,5
69351033,34923321,0,6
MBK5703223,109584273,0,0
18093827,81934462,0,5
62237460,106167804,0,0
102286055,107117589,0,0
15162703,102552125,0,0
72430294,33002392,0,0
62253309,81934462,0,4
95363300,8666981,0,6
23647688,18145948,0,0
MBK10772604,43213847,0,0
87868160,94041091,0,3
72770881,79931384,0,0
29406487,26968959,0,0
20950292,66771648,0,7
93342478,5830198,0,3
10977750,107991828,0,0
41509837,86729977,0,4
37740762,MBK12118696,0,5
23960318,66526447,0,2
34970562,50661742,0,0
27591326,74154113,0,6
MBK15553066,27660500,0,4
1384981,10047190,0,0
24858829,25224022,0,0
61760860,58849232,0,0
